GLM,QRvEcon,MoorePenrose,Polynomials
0.0,9.01342617913661,8.443045697723164,-1467.4896770751313
0.0,1.6525457569227306,1.3649862922666216,-2772.179712060834
0.0,-5.7676063606412855,-5.3507625455927155,-2316.3711834983233
0.0,-3.863665623625362,-3.3419107659152587,-1127.973991485157
0.0,-0.670365694444267,-0.4064616419651088,-354.478249903365
0.0,0.1806043660995314,0.2577265616140778,-75.12420525407894
0.0036864416865809344,0.10552343844986205,0.1197715288370933,-10.875318557918678
0.001917311861225155,0.021444940718826692,0.02314087814624388,-1.0622150384213702
0.00037588503007369626,0.0022774833765276947,0.0024039942328885344,-0.06701911888098762
3.2819132405692325e-5,0.00012622643522037404,0.00013161879975316648,-0.0024678109131484544
1.0746699556992395e-6,2.889643397664129e-6,2.990000506510073e-6,-4.0296254716574806e-5
